externalid,tranId,Customer,trandate,orderstatus,startdate,enddate,otherrefnum,memo,salesrep,opportunity,saleseffectivedate,leadsource,partner,Department,Class,Location,couponcode,promocode,discount-discountItem,discount-discountrate,itemLine_item,new_part,itemLine_quantity,itemLine_serialNumbers,itemLine_units,itemLine_salesPrice,itemLine_amount,itemLine_description,itemLine_isTaxable,itemLine_priceLevel,itemLine_department,itemLine_class,itemLine_location,itemLine_custom:Field Name,itemLine_custom:Field Name1,itemLine_custom:Field Name2,shipdate,shipcarrier,shipmethod,shipcomplete,shipaddresslist,shipattention,shipaddressee,shipAddr1,shipAddr2,shipCity,shipState,shipZip,shipCountry,shipPhone,terms,billattention,billAddressee,billAddr1,billAddr2,billCity,billState,billZip,billCountry,billPhone,currency,exchangerate,istaxable,taxitem,taxrate,tobeprinted,tobeemailed,email,tobefaxed,fax,customermessage,custbody_nsts_ci_exclude,custom:Field Name,custom:Field Name1,custom:Field Name2
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,,?,?,N,?,BAS-PMOH2,,1,?,EACH,274.5,274.5,Semi Annual  Preventative Main,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,60037,060037A,1,?,EACH,158,158,Cartridge - SECURUS Was CTG9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,N25950,N25950,1,?,EACH,30.3,30.3,Filter Intake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,M301,,1,?,EACH,4.5,4.5,O-ring - chamber Mako/Bauer.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,M305,,1,?,EACH,4.5,4.5,Ring - backup - chamber Mako/B,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71578,71578,0850069,01/02/20,O,?,?,MARCH-PM,?,0112,,?,,?,?,?,,?,?,N,?,SLP-HP-WITH MAINTENANCE,,2,?,EACH,98.75,98.75,Single High Pressure Air Test.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71579,71579,0850069,01/02/20,O,?,?,SEPT-PM,?,0112,,?,,?,?,?,,?,?,N,?,BAS-PMOH2,,1,?,EACH,274.5,274.5,Semi Annual  Preventative Main,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71579,71579,0850069,01/02/20,O,?,?,SEPT-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,N25326KIT,,1,?,EACH,32.75,32.75,Kit Oil Filter Bauer Gen II,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71579,71579,0850069,01/02/20,O,?,?,SEPT-PM,?,0112,,?,,?,?,?,Ohio,?,?,Y,?,OIL24,OIL-0024/GAL,1,?,EACH,82.5,82.5,Oil chemlube 800 gallon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71579,71579,0850069,01/02/20,O,?,?,SEPT-PM,?,0112,,?,,?,?,?,,?,?,N,?,HAZ MAT FEE-OH,,1,?,EACH,8.75,8.75,Haz Mat Fee - Oil Disposal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71579,71579,0850069,01/02/20,O,?,?,SEPT-PM,?,0112,,?,,?,?,?,,?,?,N,?,SLP-HP-WITH MAINTENANCE,,2,?,EACH,98.75,98.75,Single High Pressure Air Test.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,Youngstown,44514,USA,?,30,?,Western Reserve Fire Dist,111 South Main St,,Youngstown,OH,44514,USA,?,?,?,NONTAX,?,?,Y,?,,?,(330) 757-1374,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-PM NC,,1,?,EACH,327.96,327.96,PREVENTATIVE MAINTENANCE NC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,HAZ MAT FEE-NC,,1,?,EACH,6.5,6.5,Haz Mat Fee - Oil Disposal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,04-0310,,3,?,EACH,12,12,KIT O-RING (CHAMBER),?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
